n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn98.9[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn98.9[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn98.9[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.300000E+01   0.127820E-06   0.123503E+00   0.123571E+00   0.334232E+00   0.323671E+00   0.384318E+01   0.107339E+02   0.390301E-02      0.124841E+00        0.196146E+00        0.236320E+00        0.125556E+00        0.191316E+00        0.230779E+00        0.307685E+01        0.482378E+01        0.606002E+01    -0.900402E-07  -0.474396E-05  -0.124282E-06  -0.316570E-05   0.803221E-01  -0.803841E-06  -0.643551E+00   0.392546E-01  -0.629870E+00   0.390740E-01   0.633043E-02      0.984691E+01     0.000000E+00    0.100010E+05
   1  drift  0.810580E-01   0.300000E+01   0.127820E-06   0.142220E+00   0.142049E+00   0.378119E+00   0.375972E+00   0.386474E+01   0.107418E+02   0.390301E-02      0.124841E+00        0.196146E+00        0.236320E+00        0.125556E+00        0.191316E+00        0.230779E+00        0.307688E+01        0.482512E+01        0.606171E+01    -0.128494E-06  -0.474396E-05  -0.149943E-06  -0.316570E-05   0.803221E-01   0.388667E-02  -0.935564E+00   0.520546E-01  -0.919619E+00   0.516339E-01   0.106177E+00      0.995761E+01     0.000000E+00    0.100010E+05
   2  updat  0.810580E-01   0.300000E+01   0.127820E-06   0.142220E+00   0.142049E+00   0.378119E+00   0.375972E+00   0.386474E+01   0.107418E+02   0.390301E-02      0.124841E+00        0.196146E+00        0.236320E+00        0.125556E+00        0.191316E+00        0.230779E+00        0.307688E+01        0.482512E+01        0.606171E+01    -0.128494E-06  -0.474396E-05  -0.149943E-06  -0.316570E-05   0.803221E-01   0.388667E-02  -0.935564E+00   0.520546E-01  -0.919619E+00   0.516339E-01   0.106177E+00      0.995761E+01     0.000000E+00    0.100010E+05
   3  drift  0.862580E-01   0.300000E+01   0.127820E-06   0.143556E+00   0.143372E+00   0.381443E+00   0.379583E+00   0.386742E+01   0.107424E+02   0.390301E-02      0.124841E+00        0.196146E+00        0.236320E+00        0.125556E+00        0.191316E+00        0.230779E+00        0.307688E+01        0.482521E+01        0.606182E+01    -0.130961E-06  -0.474396E-05  -0.151589E-06  -0.316570E-05   0.803221E-01   0.413606E-02  -0.954297E+00   0.530373E-01  -0.938207E+00   0.526000E-01   0.112583E+00      0.997141E+01     0.000000E+00    0.100010E+05
   4  sol3d  0.486258E+00   0.300000E+01   0.127820E-06   0.119199E+00   0.117479E+00   0.316020E+00   0.319565E+00   0.449313E+01   0.121383E+02   0.390301E-02      0.126827E+00        0.198202E+00        0.241710E+00        0.124165E+00        0.199162E+00        0.237664E+00        0.307749E+01        0.481272E+01        0.609977E+01    -0.559448E-05  -0.429697E-03  -0.816096E-05  -0.262070E-03   0.803221E-01   0.539196E-01   0.110846E+01   0.359939E-01   0.109078E+01   0.357119E-01   0.605253E+00      0.134564E+02     0.000000E+00    0.100010E+05
   5  drift  0.516858E+00   0.300000E+01   0.127820E-06   0.108441E+00   0.106973E+00   0.286631E+00   0.294805E+00   0.456985E+01   0.122931E+02   0.390301E-02      0.126827E+00        0.198202E+00        0.241710E+00        0.124165E+00        0.199162E+00        0.237664E+00        0.307750E+01        0.481382E+01        0.610117E+01    -0.690936E-05  -0.429697E-03  -0.896290E-05  -0.262070E-03   0.803221E-01   0.561394E-01   0.918988E+00   0.297899E-01   0.903143E+00   0.296106E-01   0.642941E+00      0.139197E+02     0.000000E+00    0.100010E+05
   6  cav    0.766858E+00   0.349656E+01  -0.811091E-03   0.100858E+00   0.100129E+00   0.273771E+00   0.269705E+00   0.363656E+01   0.987218E+01   0.603318E-02      0.126890E+00        0.198514E+00        0.242386E+00        0.124194E+00        0.199482E+00        0.236073E+00        0.313713E+01        0.519017E+01        0.770055E+01    -0.134277E-03   0.942037E-02   0.466097E-03   0.317055E-01   0.867270E-01   0.535837E-01  -0.709224E+00   0.278103E-01  -0.697438E+00   0.280046E-01  -0.134008E+01      0.100785E+02     0.000000E+00    0.100010E+05
   7  matrx  0.766858E+00   0.349656E+01  -0.811091E-03   0.100858E+00   0.100129E+00   0.273771E+00   0.269705E+00   0.363656E+01   0.987218E+01   0.603318E-02      0.126890E+00        0.198514E+00        0.242386E+00        0.124194E+00        0.199482E+00        0.236073E+00        0.313713E+01        0.519017E+01        0.770055E+01    -0.134277E-03   0.942037E-02   0.466097E-03   0.317055E-01   0.867270E-01   0.535837E-01  -0.709224E+00   0.278103E-01  -0.697438E+00   0.280046E-01  -0.134008E+01      0.100785E+02     0.000000E+00    0.100010E+05
   8  updat  0.766858E+00   0.349656E+01  -0.811091E-03   0.100858E+00   0.100129E+00   0.273771E+00   0.269705E+00   0.363656E+01   0.987218E+01   0.603318E-02      0.126890E+00        0.198514E+00        0.242386E+00        0.124194E+00        0.199482E+00        0.236073E+00        0.313713E+01        0.519017E+01        0.770055E+01    -0.134277E-03   0.942037E-02   0.466097E-03   0.317055E-01   0.867270E-01   0.535837E-01  -0.709224E+00   0.278103E-01  -0.697438E+00   0.280046E-01  -0.134008E+01      0.100785E+02     0.000000E+00    0.100010E+05
   9  drift  0.772058E+00   0.349656E+01  -0.811091E-03   0.102213E+00   0.101442E+00   0.278149E+00   0.273931E+00   0.360836E+01   0.982451E+01   0.603318E-02      0.126890E+00        0.198514E+00        0.242386E+00        0.124194E+00        0.199482E+00        0.236073E+00        0.313714E+01        0.519000E+01        0.770030E+01    -0.129378E-03   0.942037E-02   0.482583E-03   0.317055E-01   0.867270E-01   0.540186E-01  -0.737327E+00   0.285625E-01  -0.725039E+00   0.287443E-01  -0.132386E+01      0.992283E+01     0.000000E+00    0.100010E+05
