 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.38057E-05       0.11100E-05       0.16473E-02      -0.35078E-01       0.55985E-02       0.55853E-01
      0      1      -0.24108E-01       0.10278E-01      -0.13285E+00       0.10520E+01       0.75451E-02      -0.20332E+01
      0      1       0.33763E-01      -0.20449E-01       0.42218E-02       0.16899E+01       0.82253E-02      -0.21504E+01
      0      1       0.28106E-01       0.51583E-02      -0.24046E+00       0.25696E+00      -0.57549E-01      -0.36015E+00
      0      1      -0.15030E-02      -0.23970E-01      -0.11389E-01      -0.22036E+01       0.96312E-01      -0.12338E+01
      0      1       0.17962E-01       0.29203E-01      -0.93199E-01       0.14744E+00      -0.72092E-01      -0.21814E-01
      0      1       0.82771E-01      -0.85595E-03       0.15211E+00       0.15391E+01       0.56501E-01      -0.93279E+00
      0      1       0.39418E-01       0.16318E-02      -0.95861E-01       0.11466E+01       0.34103E-01       0.39373E+01
      0      1      -0.32802E-01      -0.29559E-01      -0.26404E-01      -0.46279E+00       0.24298E+00       0.29653E+01
      0      1      -0.26322E-01      -0.13028E-01       0.22954E+00       0.93926E+00      -0.22906E+00      -0.15202E+01
      0      1      -0.39155E-02      -0.34516E-01       0.14433E-01      -0.17053E+01       0.19465E+00       0.18748E+01
      0      1       0.76219E-01       0.10039E-01       0.11103E+00      -0.70490E+00       0.10771E+00      -0.14359E+01
      0      1      -0.51193E-01      -0.30571E-02      -0.12900E+00      -0.28241E+01       0.61652E-01      -0.17087E+01
      0      1       0.55407E-02      -0.33226E-01       0.14425E+00       0.38838E+01      -0.57621E-01      -0.14911E+01
      0      1       0.20729E-01       0.86559E-02       0.11890E+00      -0.12497E+01       0.57696E-01       0.31068E+01
      0      1      -0.29316E-01      -0.10439E-01      -0.14210E+00      -0.69742E+00       0.93494E-01       0.15800E+01
      0      1      -0.24437E-01       0.16712E-01       0.45338E-01      -0.23868E+01       0.21006E+00       0.18272E+00
      0      1       0.17597E-01       0.13464E-01      -0.14417E+00      -0.15289E+01       0.34171E+00       0.16676E+01
      0      1       0.59506E-02       0.93851E-02      -0.83343E-01      -0.13871E+01       0.47387E-01      -0.29435E+01
      0      1       0.17553E-01       0.28713E-01       0.13696E+00      -0.18318E-01      -0.26914E-01       0.80889E+00
      0      1      -0.17730E-01       0.27415E-01      -0.14263E+00      -0.22388E+01       0.15506E+00       0.23408E+01
      0      1      -0.56676E-01      -0.14673E-01       0.15359E+00      -0.15415E+00      -0.40390E-01      -0.34427E+01
      0      1       0.71801E-01       0.12519E-01       0.99002E-01       0.23008E+00      -0.84175E-01      -0.84928E+00
      0      1       0.13505E-01       0.14918E-01      -0.23679E+00      -0.10583E+01       0.18145E+00      -0.39564E+00
      0      1       0.22536E-02       0.14195E-01       0.16647E+00       0.31057E+01       0.50788E-01      -0.76023E+00
      0      1      -0.51253E-01       0.78843E-02      -0.10834E+00       0.13820E+01       0.69547E-02       0.97733E+00
